DDOG / 1day / MEAN_REVERSION v1: done (6.1s, 1715 candles)
DDOG / 1week / MEAN_REVERSION v1: done (6.5s, 356 candles)
NET / 1h / MEAN_REVERSION v1: done (14.8s, 3470 candles)
NET / 4h / MEAN_REVERSION v1: done (2.7s, 493 candles)
NET / 1day / MEAN_REVERSION v1: done (5.4s, 1719 candles)
NET / 1week / MEAN_REVERSION v1: done (0.5s, 357 candles)
OKTA / 1h / MEAN_REVERSION v1: done (15.5s, 3471 candles)
OKTA / 4h / MEAN_REVERSION v1: done (2.5s, 493 candles)
OKTA / 1day / MEAN_REVERSION v1: done (18.0s, 2331 candles)
OKTA / 1week / MEAN_REVERSION v1: done (2.0s, 484 candles)
CRWD / 1h / MEAN_REVERSION v1: done (17.7s, 3471 candles)
CRWD / 4h / MEAN_REVERSION v1: done (4.2s, 493 candles)
CRWD / 1day / MEAN_REVERSION v1: done (7.1s, 1784 candles)
CRWD / 1week / MEAN_REVERSION v1: done (0.4s, 370 candles)
SNOW / 1h / MEAN_REVERSION v1: done (16.6s, 3470 candles)
SNOW / 4h / MEAN_REVERSION v1: done (3.1s, 493 candles)
SNOW / 1day / MEAN_REVERSION v1: done (5.4s, 1465 candles)
SNOW / 1week / MEAN_REVERSION v1: done (0.5s, 304 candles)
MSTR / 1h / MEAN_REVERSION v1: done (14.3s, 3471 candles)
MSTR / 4h / MEAN_REVERSION v1: done (5.4s, 493 candles)
MSTR / 1day / MEAN_REVERSION v1: done (30.0s, 7068 candles)
MSTR / 1week / MEAN_REVERSION v1: done (5.6s, 1466 candles)
COIN / 1h / MEAN_REVERSION v1: done (13.8s, 3471 candles)
COIN / 4h / MEAN_REVERSION v1: done (9.2s, 493 candles)
COIN / 1day / MEAN_REVERSION v1: done (4.3s, 1321 candles)
COIN / 1week / MEAN_REVERSION v1: done (0.5s, 274 candles)
DASH / 1h / MEAN_REVERSION v1: done (14.2s, 3471 candles)
DASH / 4h / MEAN_REVERSION v1: done (2.5s, 493 candles)
DASH / 1day / MEAN_REVERSION v1: done (4.9s, 1406 candles)
DASH / 1week / MEAN_REVERSION v1: done (0.4s, 292 candles)
UPST / 1h / MEAN_REVERSION v1: done (13.2s, 3471 candles)
UPST / 4h / MEAN_REVERSION v1: done (3.0s, 493 candles)
UPST / 1day / MEAN_REVERSION v1: done (9.1s, 1401 candles)
UPST / 1week / MEAN_REVERSION v1: done (5.6s, 291 candles)
SPY / 1h / BREAKOUT_MOMENTUM: done (17.3s, 3470 candles)
SPY / 4h / BREAKOUT_MOMENTUM: done (1.2s, 493 candles)
SPY / 1day / BREAKOUT_MOMENTUM: done (47.3s, 8423 candles)
SPY / 1week / BREAKOUT_MOMENTUM: done (8.8s, 1746 candles)
QQQ / 1h / BREAKOUT_MOMENTUM: done (16.9s, 3471 candles)
QQQ / 4h / BREAKOUT_MOMENTUM: done (1.2s, 493 candles)
QQQ / 1day / BREAKOUT_MOMENTUM: done (39.4s, 6881 candles)
QQQ / 1week / BREAKOUT_MOMENTUM: done (6.7s, 1427 candles)
IWM / 1h / BREAKOUT_MOMENTUM: done (16.0s, 3470 candles)
IWM / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
IWM / 1day / BREAKOUT_MOMENTUM: done (35.4s, 6573 candles)
IWM / 1week / BREAKOUT_MOMENTUM: done (5.6s, 1364 candles)
AAPL / 1h / BREAKOUT_MOMENTUM: done (16.9s, 3471 candles)
AAPL / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
AAPL / 1day / BREAKOUT_MOMENTUM: done (64.2s, 11490 candles)
AAPL / 1week / BREAKOUT_MOMENTUM: done (12.6s, 2379 candles)
MSFT / 1h / BREAKOUT_MOMENTUM: done (15.3s, 3471 candles)
MSFT / 4h / BREAKOUT_MOMENTUM: done (1.1s, 493 candles)
MSFT / 1day / BREAKOUT_MOMENTUM: done (57.1s, 10164 candles)
MSFT / 1week / BREAKOUT_MOMENTUM: done (10.4s, 2105 candles)
GOOGL / 1h / BREAKOUT_MOMENTUM: done (16.0s, 3471 candles)
GOOGL / 4h / BREAKOUT_MOMENTUM: done (1.1s, 493 candles)
GOOGL / 1day / BREAKOUT_MOMENTUM: done (28.5s, 5512 candles)
GOOGL / 1week / BREAKOUT_MOMENTUM: done (4.6s, 1143 candles)
TSLA / 1h / BREAKOUT_MOMENTUM: done (15.2s, 3471 candles)
TSLA / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
TSLA / 1day / BREAKOUT_MOMENTUM: done (20.4s, 4037 candles)
TSLA / 1week / BREAKOUT_MOMENTUM: done (2.8s, 837 candles)
AMZN / 1h / BREAKOUT_MOMENTUM: done (15.1s, 3471 candles)
AMZN / 4h / BREAKOUT_MOMENTUM: done (1.0s, 493 candles)
AMZN / 1day / BREAKOUT_MOMENTUM: done (37.3s, 7338 candles)
AMZN / 1week / BREAKOUT_MOMENTUM: done (7.0s, 1522 candles)
NVDA / 1h / BREAKOUT_MOMENTUM: done (15.6s, 3471 candles)
NVDA / 4h / BREAKOUT_MOMENTUM: done (1.0s, 493 candles)
NVDA / 1day / BREAKOUT_MOMENTUM: done (36.6s, 6913 candles)
NVDA / 1week / BREAKOUT_MOMENTUM: done (6.2s, 1434 candles)
META / 1h / BREAKOUT_MOMENTUM: done (14.7s, 3471 candles)
META / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
META / 1day / BREAKOUT_MOMENTUM: done (18.8s, 3560 candles)
META / 1week / BREAKOUT_MOMENTUM: done (2.1s, 739 candles)
NFLX / 1h / BREAKOUT_MOMENTUM: done (14.5s, 3471 candles)
NFLX / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
NFLX / 1day / BREAKOUT_MOMENTUM: done (31.5s, 6076 candles)
NFLX / 1week / BREAKOUT_MOMENTUM: done (5.3s, 1260 candles)
AVGO / 1h / BREAKOUT_MOMENTUM: done (15.1s, 3471 candles)
AVGO / 4h / BREAKOUT_MOMENTUM: done (1.5s, 493 candles)
AVGO / 1day / BREAKOUT_MOMENTUM: done (22.4s, 4262 candles)
AVGO / 1week / BREAKOUT_MOMENTUM: done (3.3s, 884 candles)
ADBE / 1h / BREAKOUT_MOMENTUM: done (14.1s, 3471 candles)
ADBE / 4h / BREAKOUT_MOMENTUM: done (0.1s, 493 candles)
ADBE / 1day / BREAKOUT_MOMENTUM: done (52.8s, 10058 candles)
ADBE / 1week / BREAKOUT_MOMENTUM: done (9.6s, 2083 candles)
CRM / 1h / BREAKOUT_MOMENTUM: done (14.3s, 3470 candles)
CRM / 4h / BREAKOUT_MOMENTUM: done (0.1s, 493 candles)
CRM / 1day / BREAKOUT_MOMENTUM: done (28.1s, 5552 candles)
CRM / 1week / BREAKOUT_MOMENTUM: done (4.6s, 1151 candles)
INTU / 1h / BREAKOUT_MOMENTUM: done (13.5s, 3471 candles)
INTU / 4h / BREAKOUT_MOMENTUM: done (0.9s, 493 candles)
INTU / 1day / BREAKOUT_MOMENTUM: done (42.5s, 8394 candles)
INTU / 1week / BREAKOUT_MOMENTUM: done (8.0s, 1740 candles)
SHOP / 1h / BREAKOUT_MOMENTUM: done (15.2s, 3471 candles)
SHOP / 4h / BREAKOUT_MOMENTUM: done (1.0s, 493 candles)
SHOP / 1day / BREAKOUT_MOMENTUM: done (13.5s, 2806 candles)
SHOP / 1week / BREAKOUT_MOMENTUM: done (1.3s, 582 candles)
PYPL / 1h / BREAKOUT_MOMENTUM: done (15.4s, 3471 candles)
PYPL / 4h / BREAKOUT_MOMENTUM: done (0.7s, 493 candles)
PYPL / 1day / BREAKOUT_MOMENTUM: done (13.0s, 2775 candles)
PYPL / 1week / BREAKOUT_MOMENTUM: done (1.3s, 575 candles)
XYZ / 1h / BREAKOUT_MOMENTUM: done (11.0s, 2596 candles)
