USD/CAD / 1day / BREAKOUT_MOMENTUM: done (23.1s, 5000 candles)
USD/CAD / 1week / BREAKOUT_MOMENTUM: done (10.2s, 2325 candles)
EUR/USD / 1h / TREND_PULLBACK: done (20.3s, 4990 candles)
EUR/USD / 4h / TREND_PULLBACK: done (19.8s, 4997 candles)
EUR/USD / 1day / TREND_PULLBACK: done (21.2s, 5000 candles)
EUR/USD / 1week / TREND_PULLBACK: done (7.6s, 2201 candles)
GBP/USD / 1h / TREND_PULLBACK: done (20.6s, 4990 candles)
GBP/USD / 4h / TREND_PULLBACK: done (20.9s, 4997 candles)
GBP/USD / 1day / TREND_PULLBACK: done (20.8s, 5000 candles)
GBP/USD / 1week / TREND_PULLBACK: done (10.8s, 2898 candles)
USD/JPY / 1h / TREND_PULLBACK: done (21.6s, 4990 candles)
USD/JPY / 4h / TREND_PULLBACK: done (20.3s, 4997 candles)
USD/JPY / 1day / TREND_PULLBACK: done (20.4s, 5000 candles)
USD/JPY / 1week / TREND_PULLBACK: done (10.8s, 2897 candles)
USD/CHF / 1h / TREND_PULLBACK: done (21.0s, 4990 candles)
USD/CHF / 4h / TREND_PULLBACK: done (20.4s, 4997 candles)
USD/CHF / 1day / TREND_PULLBACK: done (20.9s, 5000 candles)
USD/CHF / 1week / TREND_PULLBACK: done (10.6s, 2898 candles)
EUR/GBP / 1h / TREND_PULLBACK: done (20.4s, 4990 candles)
EUR/GBP / 4h / TREND_PULLBACK: done (19.7s, 4997 candles)
EUR/GBP / 1day / TREND_PULLBACK: done (21.3s, 5000 candles)
EUR/GBP / 1week / TREND_PULLBACK: done (8.7s, 2099 candles)
EUR/JPY / 1h / TREND_PULLBACK: done (20.7s, 4990 candles)
EUR/JPY / 4h / TREND_PULLBACK: done (20.9s, 4997 candles)
EUR/JPY / 1day / TREND_PULLBACK: done (21.4s, 5000 candles)
EUR/JPY / 1week / TREND_PULLBACK: done (9.9s, 2691 candles)
GBP/JPY / 1h / TREND_PULLBACK: done (22.0s, 4990 candles)
GBP/JPY / 4h / TREND_PULLBACK: done (22.3s, 4997 candles)
GBP/JPY / 1day / TREND_PULLBACK: done (20.8s, 5000 candles)
GBP/JPY / 1week / TREND_PULLBACK: done (11.5s, 2897 candles)
AUD/USD / 1h / TREND_PULLBACK: done (20.6s, 4990 candles)
AUD/USD / 4h / TREND_PULLBACK: done (20.5s, 4997 candles)
AUD/USD / 1day / TREND_PULLBACK: done (20.5s, 5000 candles)
AUD/USD / 1week / TREND_PULLBACK: done (10.6s, 2898 candles)
NZD/USD / 1h / TREND_PULLBACK: done (20.8s, 4990 candles)
NZD/USD / 4h / TREND_PULLBACK: done (20.6s, 4997 candles)
NZD/USD / 1day / TREND_PULLBACK: done (21.9s, 5000 candles)
NZD/USD / 1week / TREND_PULLBACK: done (10.5s, 2897 candles)
USD/CAD / 1h / TREND_PULLBACK: done (21.7s, 4990 candles)
USD/CAD / 4h / TREND_PULLBACK: done (20.1s, 4997 candles)
USD/CAD / 1day / TREND_PULLBACK: done (21.7s, 5000 candles)
USD/CAD / 1week / TREND_PULLBACK: done (9.8s, 2325 candles)
EUR/USD / 1h / VOLATILITY_SQUEEZE ma200: done (18.2s, 4990 candles)
EUR/USD / 4h / VOLATILITY_SQUEEZE ma200: done (19.3s, 4997 candles)
EUR/USD / 1day / VOLATILITY_SQUEEZE ma200: done (20.0s, 5000 candles)
EUR/USD / 1week / VOLATILITY_SQUEEZE ma200: done (7.9s, 2201 candles)
GBP/USD / 1h / VOLATILITY_SQUEEZE ma200: done (13.8s, 4990 candles)
